State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,Temperature(°C),Humidity(%),FarmExperience(Years),NumWorkers,CreditAccess,ExtensionServices,PreviousYield(tons/ha),YieldCategory,Rainfall(mm)_log,SoilPH_log,Fertilizer(kg/ha)_log,Pesticide(L/ha)_log,DistanceToMarket(km)_log,PlantingDensity(plants/ha)_log,ActualYield(tons/ha)_log,FarmSize(Hectares)_log,FarmAccessComfort,EnvironmentComfort,SoilIndex,IncreaseRate
Jigawa,Rice,Rainy Season,Loamy,Mixed,Sprinkler,No,Yes,Yes,22.8,57.5,12,7,1,0,1.67,Low,6.521,1.615,4.29,0.678,3.515,10.967,0.863,0.708,0.201,0.397,1.104,0.239
Jigawa,Sorghum,Rainy Season,Clay,Irrigation,Flood,Yes,Yes,No,26.0,62.5,9,4,1,1,4.72,High,6.863,1.975,4.904,1.109,3.761,11.034,1.766,2.094,0.557,0.416,0.998,1.18
Yobe,Maize,Dry Season,Loamy,Irrigation,Drip,Yes,Yes,Yes,21.4,47.9,9,2,0,0,6.1,High,7.152,2.004,4.301,1.138,1.526,11.147,1.844,1.694,1.11,0.447,1.134,3.05
Jigawa,Groundnut,Rainy Season,Loamy,Mixed,Flood,No,Yes,No,32.2,33.2,0,10,1,0,2.35,Low,6.98,2.057,4.959,2.246,2.398,10.66,1.026,0.095,0.04,0.97,0.995,0.235
Katsina,Rice,Dry Season,Silt,Mixed,Flood,Yes,No,Yes,28.8,33.8,20,4,1,1,2.21,Medium,6.5,1.964,4.727,0.863,1.792,11.125,1.454,0.542,0.302,0.852,0.971,0.552
Gombe,Cowpea,Rainy Season,Sandy,Irrigation,Flood,Yes,No,Yes,30.0,45.8,11,4,1,0,3.35,Medium,6.819,1.833,3.195,1.887,2.89,10.684,1.404,0.412,0.143,0.655,1.356,0.838
Kebbi,Wheat,Dry Season,Silt,Irrigation,Flood,Yes,Yes,Yes,27.4,69.6,12,5,1,0,4.36,Medium,6.583,2.122,3.709,1.295,2.874,10.764,1.27,0.756,0.263,0.394,1.129,0.872
Sokoto,Yam,Dry Season,Loamy,Irrigation,Sprinkler,No,Yes,Yes,29.7,61.3,10,5,1,0,6.1,High,6.8,2.077,4.677,1.76,3.395,11.023,1.788,1.873,0.552,0.485,1.007,1.22
Plateau,Rice,Dry Season,Loamy,Irrigation,Flood,Yes,No,No,22.5,62.8,16,1,0,1,4.33,High,7.048,1.934,4.606,1.479,3.003,10.836,1.92,0.182,0.061,0.358,1.078,4.33
Katsina,Rice,Dry Season,Sandy,Irrigation,Drip,Yes,No,Yes,27.86,47.7,14,2,1,0,1.98,Low,5.835,1.861,4.605,0.673,3.318,10.885,1.166,0.405,0.122,0.584,0.902,0.99
Zamfara,Wheat,Rainy Season,Clay,Rain-Fed,Sprinkler,No,No,No,30.3,59.7,9,1,0,1,2.85,Low,6.885,1.982,3.978,1.33,1.808,11.043,1.166,0.131,0.072,0.508,1.155,2.85
Katsina,Soybean,Rainy Season,Sandy,Irrigation,Drip,Yes,No,Yes,25.1,52.7,0,1,1,1,0.77,Medium,6.759,1.673,4.54,1.306,2.667,11.386,1.358,2.032,0.762,0.476,1.088,0.77
Kebbi,Groundnut,Rainy Season,Loamy,Irrigation,Flood,No,No,Yes,32.6,51.6,14,4,0,0,2.35,Medium,6.811,1.847,4.2,0.61,2.833,11.177,1.475,0.285,0.101,0.632,1.126,0.588
Zamfara,Wheat,Rainy Season,Sandy,Irrigation,Drip,Yes,No,Yes,27.2,80.3,11,5,0,1,4.67,High,6.861,1.989,5.113,1.739,2.61,10.961,1.953,1.404,0.538,0.339,0.966,0.934
Plateau,Millet,Rainy Season,Loamy,Rain-Fed,Sprinkler,No,Yes,No,31.9,79.0,14,3,1,0,1.7,Low,6.323,1.892,4.272,2.172,4.038,10.929,0.92,0.82,0.203,0.404,1.026,0.567
Kebbi,Millet,Dry Season,Sandy,Irrigation,Flood,Yes,No,Yes,21.6,75.7,3,6,0,0,1.46,Medium,7.008,2.037,3.118,1.681,3.025,10.14,1.416,1.273,0.421,0.285,1.359,0.243
Kaduna,Rice,Dry Season,Clay,Rain-Fed,Sprinkler,Yes,No,Yes,27.86,70.9,19,3,1,1,3.72,Medium,7.338,1.977,4.541,1.787,3.082,10.68,1.292,0.904,0.293,0.393,1.126,1.24
Sokoto,Soybean,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,No,Yes,28.7,73.7,14,7,1,0,4.34,Medium,6.814,1.788,4.577,1.887,3.669,10.462,1.475,0.215,0.059,0.389,1.071,0.62
Plateau,Maize,Dry Season,Loamy,Irrigation,Flood,Yes,No,No,27.3,97.3,14,6,0,1,3.43,Medium,6.541,1.758,4.043,0.104,3.296,10.946,1.141,0.166,0.05,0.281,1.128,0.572
Gombe,Soybean,Dry Season,Sandy,Irrigation,Drip,No,No,No,26.4,64.7,12,6,1,1,2.48,Medium,7.139,2.205,4.495,1.426,2.653,10.954,1.256,0.647,0.244,0.408,1.066,0.413
Jigawa,Millet,Dry Season,Loamy,Rain-Fed,Drip,No,No,Yes,30.2,69.4,11,8,1,0,1.55,Medium,6.836,1.921,4.022,0.932,2.681,11.154,1.511,0.207,0.077,0.435,1.15,0.194
Kaduna,Soybean,Dry Season,Silt,Rain-Fed,Flood,Yes,No,No,22.0,91.6,10,4,1,0,2.29,Medium,6.471,1.978,5.122,1.241,2.845,11.186,1.351,1.209,0.425,0.24,0.911,0.572
Taraba,Soybean,Rainy Season,Loamy,Irrigation,Sprinkler,No,No,No,31.2,98.4,5,4,0,1,2.67,Medium,7.047,2.008,4.788,1.411,1.335,11.106,1.47,0.095,0.071,0.317,1.037,0.668
Plateau,Groundnut,Dry Season,Sandy,Irrigation,Sprinkler,Yes,Yes,Yes,23.7,59.1,19,5,1,0,2.92,Medium,6.45,2.003,4.392,1.466,3.258,10.966,1.099,0.718,0.22,0.401,1.009,0.584
Taraba,Rice,Dry Season,Clay,Rain-Fed,Flood,Yes,No,Yes,26.0,65.4,0,5,0,1,1.39,Medium,7.063,2.057,4.835,1.166,2.754,11.404,1.253,1.267,0.46,0.398,1.025,0.278
Zamfara,Groundnut,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,Yes,No,30.7,45.8,10,7,1,0,2.02,Medium,6.812,1.867,4.738,0.0,2.766,10.352,1.477,0.85,0.307,0.67,1.031,0.289
Kaduna,Maize,Rainy Season,Silt,Irrigation,Sprinkler,Yes,No,Yes,29.2,38.4,17,1,0,1,4.6,Medium,6.447,1.813,4.692,1.461,3.661,11.106,1.454,0.673,0.184,0.76,0.991,4.6
Sokoto,Maize,Dry Season,Loamy,Mixed,Flood,No,No,No,25.3,50.3,14,5,0,1,2.77,Low,6.65,1.988,4.443,1.664,2.976,10.643,0.904,0.94,0.316,0.503,1.034,0.554
Gombe,Millet,Rainy Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,30.5,51.1,19,3,0,0,1.95,Medium,6.753,1.962,4.508,0.802,3.235,11.083,1.506,0.713,0.22,0.597,1.044,0.65
Yobe,Cowpea,Dry Season,Sandy,Mixed,Sprinkler,Yes,Yes,No,34.3,78.5,14,3,1,0,2.87,Low,6.288,1.853,4.651,0.668,3.378,10.913,1.037,1.671,0.495,0.437,0.967,0.957
Gombe,Wheat,Rainy Season,Silt,Rain-Fed,Sprinkler,Yes,Yes,No,31.8,86.5,12,4,1,0,2.87,Low,6.594,2.12,3.867,1.322,3.135,11.084,0.713,0.148,0.047,0.368,1.101,0.718
Kebbi,Cassava,Rainy Season,Sandy,Irrigation,Sprinkler,Yes,No,Yes,28.3,57.6,6,3,1,1,2.04,Medium,6.883,1.883,4.203,1.369,3.203,10.961,1.273,0.997,0.311,0.491,1.131,0.68
Gombe,Rice,Dry Season,Clay,Mixed,Flood,Yes,Yes,No,28.3,78.7,10,3,0,0,4.01,Low,6.427,2.058,3.802,1.437,1.946,11.343,1.128,0.959,0.493,0.36,1.097,1.337
Bauchi,Cowpea,Dry Season,Clay,Irrigation,Drip,Yes,Yes,Yes,30.9,53.6,13,3,1,0,3.3,High,6.407,2.008,3.987,1.122,2.079,10.766,1.953,0.658,0.316,0.576,1.069,1.1
Benue,Rice,Rainy Season,Silt,Rain-Fed,Flood,No,Yes,Yes,29.1,55.9,9,6,1,0,2.39,Medium,6.316,1.985,0.47,1.652,3.303,11.053,1.488,1.163,0.352,0.521,2.573,0.398
Yobe,Wheat,Dry Season,Sandy,Mixed,Sprinkler,No,No,Yes,23.3,96.3,13,2,0,1,2.66,Low,5.303,2.153,4.481,1.77,0.693,10.974,0.833,1.932,2.788,0.242,0.799,1.33
Katsina,Wheat,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,31.9,91.0,15,5,0,0,4.42,High,6.465,2.18,4.766,2.053,3.822,10.898,1.856,0.095,0.025,0.351,0.931,0.884
Jigawa,Sorghum,Rainy Season,Loamy,Rain-Fed,Sprinkler,No,Yes,Yes,28.17,56.8,3,1,0,1,1.84,Medium,6.808,2.0,4.521,1.166,3.109,10.738,1.442,0.372,0.12,0.496,1.044,1.84
Kano,Groundnut,Rainy Season,Sandy,Irrigation,Drip,No,No,Yes,22.6,46.0,10,1,1,1,3.75,Medium,7.048,1.984,4.312,0.199,1.163,10.762,1.556,0.765,0.658,0.491,1.119,3.75
Sokoto,Millet,Dry Season,Clay,Rain-Fed,Flood,Yes,No,Yes,32.2,84.8,15,3,0,0,5.25,Medium,6.7,1.954,4.934,1.289,2.955,10.983,1.47,1.493,0.505,0.38,0.973,1.75
Kaduna,Sorghum,Rainy Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,27.8,62.1,22,4,0,1,2.65,High,6.9,1.993,3.879,0.956,2.241,10.833,1.953,2.098,0.936,0.448,1.175,0.662
Benue,Maize,Rainy Season,Clay,Rain-Fed,Flood,No,No,Yes,24.0,93.2,12,1,1,1,2.76,Low,6.88,1.947,3.704,1.495,3.395,10.971,0.588,0.457,0.135,0.258,1.217,2.76
Sokoto,Cassava,Dry Season,Loamy,Mixed,Drip,Yes,Yes,Yes,29.0,60.3,6,1,0,0,3.08,Medium,6.995,1.756,4.599,1.122,1.609,10.532,1.404,0.688,0.428,0.481,1.101,3.08
Kaduna,Millet,Dry Season,Sandy,Irrigation,Sprinkler,Yes,No,Yes,18.0,36.6,5,2,1,0,3.98,Medium,6.963,1.834,4.205,1.701,3.484,10.889,1.461,1.218,0.35,0.492,1.153,1.99
Jigawa,Maize,Dry Season,Clay,Rain-Fed,Drip,No,No,No,28.9,53.9,4,2,1,1,2.59,Low,7.066,2.074,0.0,1.224,2.092,11.115,0.793,1.051,0.502,0.536,3.407,1.295
Niger,Soybean,Rainy Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,27.3,79.5,22,1,1,0,1.88,High,7.049,1.962,4.398,1.34,3.575,10.783,1.953,0.975,0.273,0.343,1.108,1.88
Niger,Groundnut,Rainy Season,Silt,Rain-Fed,Flood,Yes,No,No,35.4,78.5,9,6,0,1,2.53,Low,7.036,1.926,4.711,1.782,2.313,11.053,0.737,0.678,0.293,0.451,1.06,0.422
Taraba,Groundnut,Rainy Season,Loamy,Mixed,Flood,Yes,Yes,Yes,27.1,71.9,1,7,0,1,3.58,Medium,6.477,1.856,1.459,1.316,3.059,9.799,1.435,1.109,0.363,0.377,1.954,0.511
Sokoto,Groundnut,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,No,24.0,76.3,7,3,0,1,3.15,Medium,6.489,2.107,3.859,1.04,1.504,10.709,1.394,1.327,0.882,0.315,1.088,1.05
Niger,Sorghum,Rainy Season,Sandy,Irrigation,Flood,No,Yes,Yes,31.5,56.5,24,5,0,0,0.89,Low,6.049,1.842,4.707,1.406,2.695,11.087,0.775,2.144,0.796,0.558,0.924,0.178
Bauchi,Yam,Dry Season,Clay,Irrigation,Flood,Yes,Yes,No,24.5,85.3,16,4,1,0,3.51,Medium,6.581,1.947,3.97,2.073,1.825,10.917,1.099,0.148,0.081,0.287,1.112,0.878
Yobe,Cowpea,Dry Season,Sandy,Mixed,Flood,No,Yes,Yes,24.2,71.2,19,4,1,1,4.07,Medium,6.395,1.947,4.542,1.826,3.532,11.141,1.475,0.751,0.213,0.34,0.986,1.018
Kaduna,Wheat,Dry Season,Silt,Rain-Fed,Drip,Yes,Yes,Yes,29.4,64.6,5,3,0,1,0.69,Medium,6.639,2.053,3.869,1.567,2.791,10.964,1.278,0.956,0.343,0.455,1.121,0.23
Taraba,Cassava,Rainy Season,Sandy,Rain-Fed,Sprinkler,Yes,No,Yes,31.4,54.6,12,5,1,1,2.49,Medium,6.765,2.239,4.031,1.454,3.614,10.585,1.182,1.118,0.309,0.575,1.079,0.498
Gombe,Wheat,Rainy Season,Loamy,Mixed,Sprinkler,Yes,Yes,Yes,24.7,48.4,6,5,0,1,2.78,Medium,6.216,1.899,4.268,1.284,3.182,10.066,1.459,1.292,0.406,0.51,1.008,0.556
Kaduna,Yam,Rainy Season,Loamy,Rain-Fed,Drip,Yes,Yes,Yes,31.5,71.8,11,1,1,1,0.95,High,6.956,2.024,4.143,1.623,3.273,11.163,1.825,0.166,0.051,0.439,1.128,0.95
Taraba,Soybean,Rainy Season,Silt,Mixed,Sprinkler,Yes,Yes,No,29.9,76.5,15,3,0,1,2.91,Medium,6.583,1.785,4.184,1.351,2.58,10.523,1.426,1.289,0.5,0.391,1.103,0.97
Jigawa,Soybean,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,38.8,46.5,12,4,1,0,3.17,High,7.106,2.029,3.955,1.477,2.901,11.007,1.816,1.261,0.435,0.834,1.188,0.792
Sokoto,Soybean,Dry Season,Loamy,Rain-Fed,Flood,No,Yes,Yes,26.1,62.1,15,6,1,0,2.04,Medium,6.531,1.763,4.164,2.1,1.946,11.367,1.953,0.784,0.403,0.42,1.102,0.34
Jigawa,Millet,Dry Season,Clay,Mixed,Flood,No,Yes,No,20.1,76.0,1,1,0,0,2.12,Very low,6.229,1.954,3.865,0.802,2.741,10.853,0.663,1.66,0.606,0.264,1.07,2.12
Yobe,Maize,Rainy Season,Clay,Mixed,Flood,Yes,Yes,No,32.2,51.5,21,1,0,0,4.37,Medium,6.795,2.062,4.069,2.055,3.364,11.164,1.543,0.199,0.059,0.625,1.108,4.37
Yobe,Maize,Rainy Season,Sandy,Rain-Fed,Sprinkler,Yes,No,Yes,21.0,62.8,4,4,1,0,2.69,Medium,6.826,1.904,3.924,1.95,2.46,10.86,1.583,1.371,0.557,0.334,1.171,0.672
Benue,Soybean,Rainy Season,Sandy,Mixed,None,Yes,Yes,Yes,22.5,70.7,7,1,1,0,1.85,Medium,7.052,1.93,4.373,2.028,3.802,10.627,1.256,0.658,0.173,0.318,1.119,1.85
Jigawa,Cassava,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,No,30.1,79.1,13,4,1,1,2.25,High,6.953,2.054,4.206,0.88,2.451,10.736,1.933,1.421,0.58,0.381,1.111,0.562
Kebbi,Sorghum,Dry Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,33.3,68.7,8,3,0,1,1.84,High,7.169,1.991,4.569,1.583,3.475,10.979,1.747,0.399,0.115,0.485,1.093,0.613
Gombe,Cassava,Rainy Season,Silt,Irrigation,Flood,No,Yes,Yes,29.5,73.5,7,2,0,1,2.55,High,7.125,1.899,4.206,1.587,2.632,10.701,1.881,1.33,0.505,0.401,1.167,1.275
Plateau,Cassava,Dry Season,Silt,Rain-Fed,Flood,No,No,Yes,31.6,81.9,13,5,1,1,1.56,Medium,6.853,1.98,3.699,1.289,3.186,10.744,1.488,1.206,0.379,0.386,1.207,0.312
Jigawa,Maize,Dry Season,Loamy,Irrigation,Drip,No,Yes,No,29.4,78.0,16,5,1,1,3.95,Medium,7.067,2.147,0.0,1.94,2.833,10.995,1.548,0.104,0.037,0.377,3.292,0.79
Benue,Groundnut,Rainy Season,Sandy,Mixed,Flood,Yes,Yes,Yes,29.6,66.0,18,3,1,1,1.26,Medium,6.92,2.044,4.237,1.112,1.841,9.579,1.324,0.658,0.357,0.448,1.102,0.42
Zamfara,Cassava,Rainy Season,Loamy,Irrigation,Drip,No,Yes,Yes,29.0,59.6,5,1,1,1,2.67,High,6.998,1.999,3.603,1.607,2.907,10.78,1.766,1.273,0.438,0.487,1.249,2.67
Bauchi,Cassava,Rainy Season,Clay,Rain-Fed,Sprinkler,No,Yes,Yes,30.1,75.1,10,5,0,1,2.19,Medium,6.97,2.001,4.52,1.603,2.37,10.797,1.562,0.875,0.369,0.401,1.069,0.438
Kaduna,Wheat,Dry Season,Sandy,Rain-Fed,Flood,No,Yes,Yes,28.6,52.0,14,7,1,1,1.58,Medium,6.811,1.875,4.251,1.94,2.845,10.539,1.447,1.964,0.69,0.55,1.112,0.226
Yobe,Groundnut,Rainy Season,Clay,Rain-Fed,Drip,Yes,No,Yes,33.3,55.2,15,4,1,0,3.95,Medium,7.022,2.052,4.224,1.058,3.207,11.076,1.391,0.199,0.062,0.603,1.119,0.988
