FarmID,State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,FarmSize(Hectares),Rainfall(mm),Temperature(°C),Humidity(%),SoilPH,Fertilizer(kg/ha),Pesticide(L/ha),FarmExperience(Years),NumWorkers,DistanceToMarket(km),CreditAccess,ExtensionServices,PreviousYield(tons/ha),PlantingDensity(plants/ha),ActualYield(tons/ha),YieldCategory
FRM000048,Yobe,Maize,Dry Season,Loamy,Irrigation,Drip,Yes,Yes,Yes,4.44,1275.1,21.4,47.9,6.42,72.8,2.12,9,2,3.6,0,0,6.1,69337.0,5.32,High
FRM000049,Jigawa,Groundnut,Rainy Season,Loamy,Mixed,Flood,No,Yes,No,0.1,1073.5,32.2,33.2,6.82,141.5,8.45,0,10,10.0,1,0,2.35,42619.0,1.79,Low
FRM000050,Katsina,Rice,Dry Season,Silt,Mixed,Flood,Yes,No,Yes,0.72,664.1,28.8,33.8,6.13,112.0,1.37,20,4,5.0,1,1,2.21,67861.0,3.28,Medium
FRM000051,Gombe,Cowpea,Rainy Season,Sandy,Irrigation,Flood,Yes,No,Yes,0.51,914.1,30.0,45.8,5.25,23.4,5.6,11,4,17.0,1,0,3.35,43662.0,3.07,Medium
FRM000052,Kebbi,Wheat,Dry Season,Silt,Irrigation,Flood,Yes,Yes,Yes,1.13,721.8,27.4,69.6,7.35,39.8,2.65,12,5,16.7,1,0,4.36,47275.0,2.56,Medium
FRM000053,Sokoto,Yam,Dry Season,Loamy,Irrigation,Sprinkler,No,Yes,Yes,5.51,897.2,29.7,61.3,6.98,106.4,4.81,10,5,28.8,1,0,6.1,61267.0,4.98,High
FRM000054,Plateau,Rice,Dry Season,Loamy,Irrigation,Flood,Yes,No,No,0.2,1149.1,22.5,62.8,5.92,99.1,3.39,16,1,19.15,0,1,4.33,50828.0,5.82,High
FRM000055,Katsina,Rice,Dry Season,Sandy,Irrigation,Drip,Yes,No,Yes,0.5,340.9,27.86,47.7,5.43,99.0,0.96,14,2,26.6,1,0,1.98,53344.0,2.21,Low
FRM000056,Zamfara,Wheat,Rainy Season,Clay,Rain-Fed,Sprinkler,No,No,No,0.14,976.3,30.3,59.7,6.26,52.4,2.78,9,1,5.1,0,1,2.85,62535.0,2.21,Low
FRM000057,Katsina,Soybean,Rainy Season,Sandy,Irrigation,Drip,Yes,No,Yes,6.63,861.0,25.1,52.7,4.33,92.7,2.69,0,1,13.4,1,1,0.77,88100.0,2.89,Medium
FRM000058,Kebbi,Groundnut,Rainy Season,Loamy,Irrigation,Flood,No,No,Yes,0.33,907.0,32.6,51.6,5.34,65.7,0.84,14,4,16.0,0,0,2.35,71492.0,3.37,Medium
FRM000059,Zamfara,Wheat,Rainy Season,Sandy,Irrigation,Drip,Yes,No,Yes,3.07,952.9,27.2,80.3,6.31,165.2,4.69,11,5,12.6,0,1,4.67,57572.0,6.05,High
FRM000060,Plateau,Millet,Rainy Season,Loamy,Rain-Fed,Sprinkler,No,Yes,No,1.27,556.2,31.9,79.0,5.63,70.7,7.78,14,3,55.7,1,0,1.7,55768.0,1.51,Low
FRM000061,Kebbi,Millet,Dry Season,Sandy,Irrigation,Flood,Yes,No,Yes,2.57,1104.7,21.6,75.7,6.67,21.6,4.37,3,6,19.6,0,0,1.46,25323.0,3.12,Medium
FRM000062,Kaduna,Rice,Dry Season,Clay,Rain-Fed,Sprinkler,Yes,No,Yes,1.47,1536.45,27.86,70.9,6.22,92.8,4.97,19,3,20.8,1,1,3.72,43466.0,2.64,Medium
FRM000063,Sokoto,Soybean,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,No,Yes,0.24,909.5,28.7,73.7,4.98,96.2,5.6,14,7,38.2,1,0,4.34,34959.0,3.37,Medium
FRM000064,Plateau,Maize,Dry Season,Loamy,Irrigation,Flood,Yes,No,No,0.18,692.2,27.3,97.3,4.8,56.0,0.11,14,6,26.0,0,1,3.43,56708.0,2.13,Medium
FRM000065,Gombe,Soybean,Dry Season,Sandy,Irrigation,Drip,No,No,No,0.91,1259.7,26.4,64.7,8.07,88.6,3.16,12,6,13.2,1,1,2.48,57202.0,2.51,Medium
FRM000066,Jigawa,Millet,Dry Season,Loamy,Rain-Fed,Drip,No,No,Yes,0.23,929.6,30.2,69.4,5.83,54.8,1.54,11,8,13.6,1,0,1.55,69840.0,3.53,Medium
FRM000067,Kaduna,Soybean,Dry Season,Silt,Rain-Fed,Flood,Yes,No,No,2.35,644.9,22.0,91.6,6.23,166.7,2.46,10,4,16.2,1,0,2.29,72117.0,2.86,Medium
FRM000068,Taraba,Soybean,Rainy Season,Loamy,Irrigation,Sprinkler,No,No,No,0.1,1148.7,31.2,98.4,6.45,119.1,3.1,5,4,2.8,0,1,2.67,66542.0,3.35,Medium
FRM000069,Plateau,Groundnut,Dry Season,Sandy,Irrigation,Sprinkler,Yes,Yes,Yes,1.05,631.6,23.7,59.1,6.41,79.8,3.33,19,5,25.0,1,0,2.92,57899.0,2.0,Medium
FRM000070,Taraba,Rice,Dry Season,Clay,Rain-Fed,Flood,Yes,No,Yes,2.55,1166.9,26.0,65.4,6.82,124.8,2.21,0,5,14.7,0,1,1.39,89665.0,2.5,Medium
FRM000071,Zamfara,Groundnut,Rainy Season,Loamy,Rain-Fed,Sprinkler,Yes,Yes,No,1.34,907.4,30.7,45.8,5.47,113.2,0.0,10,7,14.9,1,0,2.02,31303.0,3.38,Medium
FRM000072,Kaduna,Maize,Rainy Season,Silt,Irrigation,Sprinkler,Yes,No,Yes,0.96,629.6,29.2,38.4,5.13,108.1,3.31,17,1,37.9,0,1,4.6,66543.0,3.28,Medium
FRM000073,Sokoto,Maize,Dry Season,Loamy,Mixed,Flood,No,No,No,1.56,771.9,25.3,50.3,6.3,84.0,4.28,14,5,18.6,0,1,2.77,41890.0,1.47,Low
FRM000074,Gombe,Millet,Rainy Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,1.04,856.0,30.5,51.1,6.11,89.7,1.23,19,3,24.4,0,0,1.95,65048.0,3.51,Medium
FRM000075,Yobe,Cowpea,Dry Season,Sandy,Mixed,Sprinkler,Yes,Yes,No,4.32,536.9,34.3,78.5,5.38,103.7,0.95,14,3,28.3,1,0,2.87,54868.0,1.82,Low
FRM000076,Gombe,Wheat,Rainy Season,Silt,Rain-Fed,Sprinkler,Yes,Yes,No,0.16,729.5,31.8,86.5,7.33,46.8,2.75,12,4,22.0,1,0,2.87,65099.0,1.04,Low
FRM000077,Kebbi,Cassava,Rainy Season,Sandy,Irrigation,Sprinkler,Yes,No,Yes,1.71,974.7,28.3,57.6,5.57,65.9,2.93,6,3,23.6,1,1,2.04,57606.0,2.57,Medium
FRM000078,Gombe,Rice,Dry Season,Clay,Mixed,Flood,Yes,Yes,No,1.61,617.1,28.3,78.7,6.83,43.8,3.21,10,3,6.0,0,0,4.01,84355.0,2.09,Low
FRM000079,Bauchi,Cowpea,Dry Season,Clay,Irrigation,Drip,Yes,Yes,Yes,0.93,605.3,30.9,53.6,6.45,52.9,2.07,13,3,7.0,1,0,3.3,47377.0,6.05,High
FRM000080,Benue,Rice,Rainy Season,Silt,Rain-Fed,Flood,No,Yes,Yes,2.2,552.1,29.1,55.9,6.28,0.6,4.22,9,6,26.2,1,0,2.39,63102.0,3.43,Medium
FRM000081,Yobe,Wheat,Dry Season,Sandy,Mixed,Sprinkler,No,No,Yes,5.9,200.0,23.3,96.3,7.61,87.3,4.87,13,2,1.0,0,1,2.66,58363.0,1.3,Low
FRM000082,Katsina,Wheat,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,0.1,641.4,31.9,91.0,7.85,116.5,6.79,15,5,44.7,0,0,4.42,54086.0,5.4,High
FRM000083,Jigawa,Sorghum,Rainy Season,Loamy,Rain-Fed,Sprinkler,No,Yes,Yes,0.45,904.2,28.17,56.8,6.39,90.9,2.21,3,1,21.4,0,1,1.84,46051.0,3.23,Medium
FRM000084,Kano,Groundnut,Rainy Season,Sandy,Irrigation,Drip,No,No,Yes,1.15,1149.5,22.6,46.0,6.27,73.6,0.22,10,1,2.2,1,1,3.75,47202.0,3.74,Medium
FRM000085,Sokoto,Millet,Dry Season,Clay,Rain-Fed,Flood,Yes,No,Yes,3.45,811.3,32.2,84.8,6.06,138.0,2.63,15,3,18.2,0,0,5.25,58879.0,3.35,Medium
FRM000086,Kaduna,Sorghum,Rainy Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,7.15,991.1,27.8,62.1,6.34,47.4,1.6,22,4,8.4,0,1,2.65,50663.0,6.05,High
FRM000087,Benue,Maize,Rainy Season,Clay,Rain-Fed,Flood,No,No,Yes,0.58,971.7,24.0,93.2,6.01,39.6,3.46,12,1,28.8,1,1,2.76,58185.0,0.8,Low
FRM000088,Sokoto,Cassava,Dry Season,Loamy,Mixed,Drip,Yes,Yes,Yes,0.99,1090.2,29.0,60.3,4.79,98.4,2.07,6,1,4.0,0,0,3.08,37486.0,3.07,Medium
FRM000089,Kaduna,Millet,Dry Season,Sandy,Irrigation,Sprinkler,Yes,No,Yes,2.38,1055.8,18.0,36.6,5.26,66.0,4.48,5,2,31.6,1,0,3.98,53562.0,3.31,Medium
FRM000090,Jigawa,Maize,Dry Season,Clay,Rain-Fed,Drip,No,No,No,1.86,1169.9,28.9,53.9,6.96,0.0,2.4,4,2,7.1,1,1,2.59,67196.0,1.21,Low
FRM000091,Niger,Soybean,Rainy Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,1.65,1150.5,27.3,79.5,6.11,80.3,2.82,22,1,34.7,1,0,1.88,48199.0,6.05,High
FRM000092,Niger,Groundnut,Rainy Season,Silt,Rain-Fed,Flood,Yes,No,No,0.97,1135.4,35.4,78.5,5.86,110.2,4.94,9,6,9.1,0,1,2.53,63124.0,1.09,Low
FRM000093,Taraba,Groundnut,Rainy Season,Loamy,Mixed,Flood,Yes,Yes,Yes,2.03,649.3,27.1,71.9,5.4,3.3,2.73,1,7,20.3,0,1,3.58,18014.0,3.2,Medium
FRM000094,Sokoto,Groundnut,Dry Season,Loamy,Irrigation,Flood,Yes,Yes,No,2.77,657.1,24.0,76.3,7.22,46.4,1.83,7,3,3.5,0,1,3.15,44746.0,3.03,Medium
FRM000095,Niger,Sorghum,Rainy Season,Sandy,Irrigation,Flood,No,Yes,Yes,7.53,422.5,31.5,56.5,5.31,109.7,3.08,24,5,13.8,0,0,0.89,65323.0,1.17,Low
FRM000096,Bauchi,Yam,Dry Season,Clay,Irrigation,Flood,Yes,Yes,No,0.16,720.4,24.5,85.3,6.01,52.0,6.95,16,4,5.2,1,0,3.51,55125.0,2.0,Medium
FRM000097,Yobe,Cowpea,Dry Season,Sandy,Mixed,Flood,No,Yes,Yes,1.12,597.6,24.2,71.2,6.01,92.9,5.21,19,4,33.2,1,1,4.07,68916.0,3.37,Medium
FRM000098,Kaduna,Wheat,Dry Season,Silt,Rain-Fed,Drip,Yes,Yes,Yes,1.6,763.5,29.4,64.6,6.79,46.9,3.79,5,3,15.3,0,1,0.69,57729.0,2.59,Medium
FRM000099,Taraba,Cassava,Rainy Season,Sandy,Rain-Fed,Sprinkler,Yes,No,Yes,2.06,866.0,31.4,54.6,8.38,55.3,3.28,12,5,36.1,1,1,2.49,39538.0,2.26,Medium
FRM000100,Gombe,Wheat,Rainy Season,Loamy,Mixed,Sprinkler,Yes,Yes,Yes,2.64,499.9,24.7,48.4,5.68,70.4,2.61,6,5,23.1,0,1,2.78,23524.0,3.3,Medium
FRM000101,Kaduna,Yam,Rainy Season,Loamy,Rain-Fed,Drip,Yes,Yes,Yes,0.18,1048.2,31.5,71.8,6.57,62.0,4.07,11,1,25.4,1,1,0.95,70440.0,5.2,High
FRM000102,Taraba,Soybean,Rainy Season,Silt,Mixed,Sprinkler,Yes,Yes,No,2.63,721.6,29.9,76.5,4.96,64.6,2.86,15,3,12.2,0,1,2.91,37166.0,3.16,Medium
FRM000103,Jigawa,Soybean,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,Yes,2.53,1218.2,38.8,46.5,6.61,51.2,3.38,12,4,17.2,1,0,3.17,60307.0,5.15,High
FRM000104,Sokoto,Soybean,Dry Season,Loamy,Rain-Fed,Flood,No,Yes,Yes,1.19,685.2,26.1,62.1,4.83,63.3,7.17,15,6,6.0,1,0,2.04,86447.0,6.05,Medium
FRM000105,Jigawa,Millet,Dry Season,Clay,Mixed,Flood,No,Yes,No,4.26,506.0,20.1,76.0,6.06,46.7,1.23,1,1,14.5,0,0,2.12,51690.0,0.94,Very low
FRM000106,Yobe,Maize,Rainy Season,Clay,Mixed,Flood,Yes,Yes,No,0.22,892.7,32.2,51.5,6.86,57.5,6.81,21,1,27.9,0,0,4.37,70561.0,3.68,Medium
FRM000107,Yobe,Maize,Rainy Season,Sandy,Rain-Fed,Sprinkler,Yes,No,Yes,2.94,920.4,21.0,62.8,5.71,49.6,6.03,4,4,10.7,1,0,2.69,52050.0,3.87,Medium
FRM000108,Benue,Soybean,Rainy Season,Sandy,Mixed,None,Yes,Yes,Yes,0.93,1154.1,22.5,70.7,5.89,78.3,6.6,7,1,43.8,1,0,1.85,41217.0,2.51,Medium
FRM000109,Jigawa,Cassava,Rainy Season,Loamy,Irrigation,Flood,Yes,Yes,No,3.14,1045.2,30.1,79.1,6.8,66.1,1.41,13,4,10.6,1,1,2.25,45996.0,5.91,High
FRM000110,Kebbi,Sorghum,Dry Season,Sandy,Irrigation,Flood,Yes,Yes,Yes,0.49,1297.0,33.3,68.7,6.32,95.4,3.87,8,3,31.3,0,1,1.84,58610.0,4.74,High
FRM000111,Gombe,Cassava,Rainy Season,Silt,Irrigation,Flood,No,Yes,Yes,2.78,1242.2,29.5,73.5,5.68,66.1,3.89,7,2,12.9,0,1,2.55,44384.0,5.56,High
FRM000112,Plateau,Cassava,Dry Season,Silt,Rain-Fed,Flood,No,No,Yes,2.34,945.9,31.6,81.9,6.24,39.4,2.63,13,5,23.2,1,1,1.56,46343.0,3.43,Medium
FRM000113,Jigawa,Maize,Dry Season,Loamy,Irrigation,Drip,No,Yes,No,0.11,1171.9,29.4,78.0,7.56,0.0,5.96,16,5,16.0,1,1,3.95,59568.0,3.7,Medium
FRM000114,Benue,Groundnut,Rainy Season,Sandy,Mixed,Flood,Yes,Yes,Yes,0.93,1011.3,29.6,66.0,6.72,68.2,2.04,18,3,5.3,1,1,1.26,14459.0,2.76,Medium
FRM000115,Zamfara,Cassava,Rainy Season,Loamy,Irrigation,Drip,No,Yes,Yes,2.57,1093.6,29.0,59.6,6.38,35.7,3.99,5,1,17.3,1,1,2.67,48037.0,4.85,High
FRM000116,Bauchi,Cassava,Rainy Season,Clay,Rain-Fed,Sprinkler,No,Yes,Yes,1.4,1063.4,30.1,75.1,6.4,90.8,3.97,10,5,9.7,0,1,2.19,48894.0,3.77,Medium
FRM000117,Kaduna,Wheat,Dry Season,Sandy,Rain-Fed,Flood,No,Yes,Yes,6.13,907.0,28.6,52.0,5.52,69.2,5.96,14,7,16.2,1,1,1.58,37770.0,3.25,Medium
FRM000118,Yobe,Groundnut,Rainy Season,Clay,Rain-Fed,Drip,Yes,No,Yes,0.22,1120.0,33.3,55.2,6.78,67.3,1.88,15,4,23.7,1,0,3.95,64626.0,3.02,Medium
FRM000119,Zamfara,Maize,Rainy Season,Silt,Rain-Fed,Flood,Yes,Yes,Yes,0.8,644.1,33.0,90.8,5.59,50.3,3.85,35,1,17.7,0,0,4.53,43058.0,2.31,Medium
FRM000120,Benue,Sorghum,Dry Season,Silt,Rain-Fed,Drip,No,No,Yes,5.38,662.4,22.1,73.6,7.13,89.8,4.51,8,8,8.2,1,0,4.56,60998.0,2.01,Low
FRM000121,Taraba,Cowpea,Rainy Season,Sandy,Mixed,Flood,Yes,Yes,Yes,0.23,504.4,27.3,96.0,6.12,81.9,4.47,14,3,24.6,1,0,4.09,23030.0,2.88,Medium
FRM000122,Plateau,Maize,Dry Season,Sandy,Rain-Fed,Drip,Yes,Yes,Yes,3.04,682.4,31.4,87.9,6.66,68.8,2.8,6,7,47.4,1,1,3.07,41382.0,4.39,Medium
FRM000123,Gombe,Maize,Dry Season,Silt,Rain-Fed,Drip,Yes,No,No,1.22,1144.9,37.2,61.4,5.56,97.1,3.36,12,1,15.3,0,1,1.87,29360.0,2.0,Low
FRM000124,Gombe,Cassava,Rainy Season,Loamy,Rain-Fed,Drip,Yes,Yes,No,0.18,835.3,28.4,86.1,6.56,0.0,2.85,20,6,12.7,1,0,1.81,46821.0,3.86,Medium
FRM000125,Gombe,Wheat,Rainy Season,Clay,Rain-Fed,Sprinkler,Yes,No,Yes,1.92,750.2,26.2,65.6,5.87,65.4,6.76,5,4,11.1,1,0,2.45,39909.0,1.26,Low
FRM000126,Bauchi,Yam,Rainy Season,Loamy,Irrigation,Sprinkler,Yes,Yes,No,7.76,200.0,30.8,79.1,5.89,84.9,1.88,26,4,2.8,1,1,1.33,65028.0,5.86,High
FRM000127,Plateau,Soybean,Dry Season,Clay,Rain-Fed,Flood,Yes,Yes,Yes,3.61,1022.2,26.3,74.8,6.69,87.1,2.59,7,2,17.9,1,0,1.7,62001.0,2.84,Medium
FRM000128,Bauchi,Rice,Rainy Season,Clay,Irrigation,Drip,No,No,No,1.91,918.8,27.1,68.6,6.17,29.1,1.76,11,1,36.1,0,1,3.79,77265.0,2.52,Low
FRM000129,Yobe,Wheat,Rainy Season,Clay,Irrigation,Flood,Yes,Yes,Yes,1.76,703.3,25.6,76.5,5.97,80.1,7.51,18,5,10.4,0,0,1.62,39893.0,3.57,Medium
